transaction_id,rate,pickUpDate,returnDate,owner_id,renter_id,item_id,paymentintent_id,refunded,payment_status
7,32,2022-06-19T19:55:20.945Z,2022-06-24T19:55:20.945Z,9,5,17,,false,
8,100,2022-06-24T19:55:20.945Z,2022-06-29T19:55:20.945Z,12,10,17,,false,
9,96,2022-07-03T19:55:20.945Z,2022-07-06T19:55:20.945Z,12,11,17,,false,
0,33,2022-06-07T19:55:20.945Z,2022-06-10T19:55:20.945Z,11,13,18,,false,
1,9,2022-06-11T19:55:20.945Z,2022-06-16T19:55:20.945Z,14,14,18,,false,
0,83,2022-05-05T19:55:20.945Z,2022-05-09T19:55:20.945Z,0,13,19,,false,
1,38,2022-05-12T19:55:20.945Z,2022-05-16T19:55:20.945Z,6,14,19,,false,
2,95,2022-05-20T19:55:20.945Z,2022-05-23T19:55:20.945Z,2,8,19,,false,
3,55,2022-05-27T19:55:20.945Z,2022-06-01T19:55:20.945Z,11,14,19,,false,
4,25,2022-06-01T19:55:20.945Z,2022-06-08T19:55:20.945Z,0,2,19,,false,
5,53,2022-06-10T19:55:20.945Z,2022-06-12T19:55:20.945Z,4,13,19,,false,
6,73,2022-06-14T19:55:20.945Z,2022-06-17T19:55:20.945Z,3,1,19,,false,
7,41,2022-06-18T19:55:20.945Z,2022-06-25T19:55:20.945Z,13,3,19,,false,
8,35,2022-06-28T19:55:20.945Z,2022-07-03T19:55:20.945Z,3,5,19,,false,
9,35,2022-07-07T19:55:20.945Z,2022-07-14T19:55:20.945Z,2,13,19,,false,
0,13,2022-05-12T19:55:20.945Z,2022-05-17T19:55:20.945Z,5,3,20,,false,
1,29,2022-05-17T19:55:20.945Z,2022-05-22T19:55:20.945Z,8,6,20,,false,
2,98,2022-05-23T19:55:20.945Z,2022-05-25T19:55:20.945Z,5,0,20,,false,
3,72,2022-05-26T19:55:20.945Z,2022-05-28T19:55:20.945Z,7,14,20,,false,
4,35,2022-05-29T19:55:20.945Z,2022-05-31T19:55:20.945Z,8,11,20,,false,
5,86,2022-06-03T19:55:20.945Z,2022-06-09T19:55:20.945Z,7,1,20,,false,
6,86,2022-06-10T19:55:20.945Z,2022-06-16T19:55:20.945Z,14,9,20,,false,
7,102,2022-06-16T19:55:20.945Z,2022-06-18T19:55:20.945Z,0,6,20,,false,
0,73,2022-06-02T19:55:20.945Z,2022-06-04T19:55:20.945Z,7,0,21,,false,
1,96,2022-06-04T19:55:20.945Z,2022-06-11T19:55:20.945Z,5,4,21,,false,
2,13,2022-06-11T19:55:20.945Z,2022-06-15T19:55:20.945Z,13,0,21,,false,
3,76,2022-06-18T19:55:20.945Z,2022-06-19T19:55:20.945Z,5,1,21,,false,
4,19,2022-06-23T19:55:20.945Z,2022-06-25T19:55:20.945Z,5,6,21,,false,
5,92,2022-06-29T19:55:20.945Z,2022-07-06T19:55:20.945Z,14,3,21,,false,
6,61,2022-07-06T19:55:20.945Z,2022-07-07T19:55:20.945Z,9,11,21,,false,
7,35,2022-07-10T19:55:20.945Z,2022-07-17T19:55:20.945Z,5,5,21,,false,
8,52,2022-07-20T19:55:20.945Z,2022-07-21T19:55:20.945Z,11,8,21,,false,
0,37,2022-05-03T19:55:20.945Z,2022-05-09T19:55:20.945Z,6,11,22,,false,
1,84,2022-05-12T19:55:20.945Z,2022-05-17T19:55:20.945Z,12,13,22,,false,
2,20,2022-05-21T19:55:20.945Z,2022-05-24T19:55:20.945Z,10,2,22,,false,
3,44,2022-05-28T19:55:20.945Z,2022-05-29T19:55:20.945Z,14,4,22,,false,
4,59,2022-05-29T19:55:20.945Z,2022-05-31T19:55:20.945Z,8,11,22,,false,
5,25,2022-05-31T19:55:20.945Z,2022-06-04T19:55:20.945Z,4,14,22,,false,
0,23,2022-05-02T19:55:20.945Z,2022-05-07T19:55:20.945Z,8,12,23,,false,
1,74,2022-05-08T19:55:20.945Z,2022-05-11T19:55:20.945Z,0,11,23,,false,
2,9,2022-05-12T19:55:20.945Z,2022-05-17T19:55:20.945Z,3,0,23,,false,
0,49,2022-05-02T19:55:20.945Z,2022-05-09T19:55:20.945Z,3,4,24,,false,
1,13,2022-05-09T19:55:20.945Z,2022-05-15T19:55:20.945Z,4,0,24,,false,
0,100,2022-05-03T19:55:20.945Z,2022-05-06T19:55:20.945Z,6,7,25,,false,
1,51,2022-05-07T19:55:20.945Z,2022-05-09T19:55:20.945Z,7,3,25,,false,
2,80,2022-05-11T19:55:20.945Z,2022-05-12T19:55:20.945Z,2,6,25,,false,
0,83,2022-06-01T19:55:20.945Z,2022-06-02T19:55:20.945Z,6,3,26,,false,
0,97,2022-05-27T19:55:20.945Z,2022-06-03T19:55:20.945Z,3,2,27,,false,
1,6,2022-06-07T19:55:20.945Z,2022-06-12T19:55:20.945Z,7,7,27,,false,
2,83,2022-06-16T19:55:20.945Z,2022-06-23T19:55:20.945Z,9,5,27,,false,
0,47,2022-06-04T19:55:20.945Z,2022-06-06T19:55:20.945Z,10,5,28,,false,
1,7,2022-06-10T19:55:20.945Z,2022-06-13T19:55:20.945Z,5,10,28,,false,
2,11,2022-06-14T19:55:20.945Z,2022-06-16T19:55:20.945Z,14,9,28,,false,
0,97,2022-04-28T19:55:20.945Z,2022-05-05T19:55:20.945Z,5,5,29,,false,
1,72,2022-05-06T19:55:20.945Z,2022-05-07T19:55:20.945Z,1,10,29,,false,
2,33,2022-05-08T19:55:20.945Z,2022-05-12T19:55:20.945Z,11,0,29,,false,
0,8,2022-05-26T19:55:20.945Z,2022-05-31T19:55:20.945Z,11,9,30,,false,
1,100,2022-06-04T19:55:20.945Z,2022-06-11T19:55:20.945Z,8,0,30,,false,
2,30,2022-06-12T19:55:20.945Z,2022-06-15T19:55:20.945Z,14,2,30,,false,
0,91,2022-05-27T19:55:20.946Z,2022-06-03T19:55:20.946Z,5,4,31,,false,
1,97,2022-06-04T19:55:20.946Z,2022-06-09T19:55:20.946Z,9,4,31,,false,
0,101,2022-05-15T19:55:20.946Z,2022-05-16T19:55:20.946Z,11,7,33,,false,
1,52,2022-05-19T19:55:20.946Z,2022-05-21T19:55:20.946Z,4,8,33,,false,
2,17,2022-05-23T19:55:20.946Z,2022-05-30T19:55:20.946Z,5,1,33,,false,
3,27,2022-05-30T19:55:20.946Z,2022-06-02T19:55:20.946Z,0,1,33,,false,
4,94,2022-06-03T19:55:20.946Z,2022-06-09T19:55:20.946Z,3,14,33,,false,
0,50,2022-05-29T19:55:20.946Z,2022-06-04T19:55:20.946Z,9,9,34,,false,
1,60,2022-06-05T19:55:20.946Z,2022-06-11T19:55:20.946Z,1,0,34,,false,
2,103,2022-06-15T19:55:20.946Z,2022-06-16T19:55:20.946Z,8,12,34,,false,
3,95,2022-06-17T19:55:20.946Z,2022-06-19T19:55:20.946Z,13,9,34,,false,
4,16,2022-06-23T19:55:20.946Z,2022-06-30T19:55:20.946Z,9,13,34,,false,
0,41,2022-05-29T19:55:20.946Z,2022-05-30T19:55:20.946Z,11,12,35,,false,
1,102,2022-06-02T19:55:20.946Z,2022-06-08T19:55:20.946Z,10,13,35,,false,
0,50,2022-06-06T19:55:20.946Z,2022-06-10T19:55:20.946Z,4,2,36,,false,
1,12,2022-06-12T19:55:20.946Z,2022-06-14T19:55:20.946Z,7,9,36,,false,
2,38,2022-06-15T19:55:20.946Z,2022-06-17T19:55:20.946Z,0,1,36,,false,
3,64,2022-06-19T19:55:20.946Z,2022-06-24T19:55:20.946Z,12,10,36,,false,
4,77,2022-06-25T19:55:20.946Z,2022-07-01T19:55:20.946Z,9,0,36,,false,
5,31,2022-07-01T19:55:20.946Z,2022-07-03T19:55:20.946Z,14,10,36,,false,
6,83,2022-07-05T19:55:20.946Z,2022-07-12T19:55:20.946Z,1,1,36,,false,
7,14,2022-07-12T19:55:20.946Z,2022-07-13T19:55:20.946Z,4,11,36,,false,
8,85,2022-07-16T19:55:20.946Z,2022-07-21T19:55:20.946Z,2,4,36,,false,
9,49,2022-07-25T19:55:20.946Z,2022-07-27T19:55:20.946Z,13,1,36,,false,
0,89,2022-06-03T19:55:20.946Z,2022-06-09T19:55:20.946Z,1,14,37,,false,
1,83,2022-06-11T19:55:20.946Z,2022-06-15T19:55:20.946Z,0,0,37,,false,
2,46,2022-06-15T19:55:20.946Z,2022-06-18T19:55:20.946Z,13,11,37,,false,
3,84,2022-06-22T19:55:20.946Z,2022-06-27T19:55:20.946Z,12,5,37,,false,
4,75,2022-06-28T19:55:20.946Z,2022-07-05T19:55:20.946Z,0,9,37,,false,
5,19,2022-07-09T19:55:20.946Z,2022-07-15T19:55:20.946Z,12,3,37,,false,
6,90,2022-07-15T19:55:20.946Z,2022-07-16T19:55:20.946Z,5,11,37,,false,
7,83,2022-07-19T19:55:20.946Z,2022-07-21T19:55:20.946Z,10,9,37,,false,
8,23,2022-07-24T19:55:20.946Z,2022-07-26T19:55:20.946Z,2,1,37,,false,
0,103,2022-05-28T19:55:20.946Z,2022-05-30T19:55:20.946Z,4,6,38,,false,
1,79,2022-05-30T19:55:20.946Z,2022-05-31T19:55:20.946Z,4,11,38,,false,
2,31,2022-05-31T19:55:20.946Z,2022-06-07T19:55:20.946Z,6,10,38,,false,
3,23,2022-06-08T19:55:20.946Z,2022-06-11T19:55:20.946Z,8,6,38,,false,
4,49,2022-06-14T19:55:20.946Z,2022-06-20T19:55:20.946Z,3,2,38,,false,
5,30,2022-06-21T19:55:20.946Z,2022-06-22T19:55:20.946Z,0,0,38,,false,
0,100,2022-05-18T19:55:20.946Z,2022-05-20T19:55:20.946Z,7,13,39,,false,
1,97,2022-05-21T19:55:20.946Z,2022-05-24T19:55:20.946Z,10,8,39,,false,
2,36,2022-05-28T19:55:20.946Z,2022-06-03T19:55:20.946Z,2,14,39,,false,
3,87,2022-06-05T19:55:20.946Z,2022-06-08T19:55:20.946Z,7,8,39,,false,
4,101,2022-06-10T19:55:20.946Z,2022-06-15T19:55:20.946Z,11,13,39,,false,
5,93,2022-06-15T19:55:20.946Z,2022-06-20T19:55:20.946Z,5,8,39,,false,
6,23,2022-06-22T19:55:20.946Z,2022-06-23T19:55:20.946Z,8,0,39,,false,
7,96,2022-06-26T19:55:20.946Z,2022-07-02T19:55:20.946Z,10,12,39,,false,
0,79,2022-05-04T19:55:20.946Z,2022-05-10T19:55:20.946Z,4,5,40,,false,
1,27,2022-05-10T19:55:20.946Z,2022-05-14T19:55:20.946Z,4,14,40,,false,
2,35,2022-05-18T19:55:20.946Z,2022-05-25T19:55:20.946Z,11,4,40,,false,
3,80,2022-05-27T19:55:20.946Z,2022-06-01T19:55:20.946Z,9,13,40,,false,
4,32,2022-06-01T19:55:20.946Z,2022-06-02T19:55:20.946Z,4,7,40,,false,
5,91,2022-06-02T19:55:20.946Z,2022-06-07T19:55:20.946Z,2,11,40,,false,
